Product_ID,Product_Name,Material,CO2_per_kg,Recyclability_Score,Biodegradability_Score,Source_Country,Packaging_Type,Transport_Distance_km,Transport_Mode,Delivery_Carbon_kgCO2e,Energy_Consumption_kWh,Water_Usage_Liters,Waste_Generated_kg,Total_Sustainability_Score
P-00073,Aluminum Product 73,Steel,3.56,0.71,0.58,UK,Recycled,4212.9,Air,66.52,144.73,3693.7,1.54,100.0
P-00074,Wood Product 74,Paper,5.55,0.34,0.16,Germany,Bioplastic,175.5,Air,71.13,181.72,2246.2,0.21,100.0
P-00075,Leather Product 75,Plastic,14.03,0.21,0.33,Italy,Paper,2271.5,Air,99.5,187.09,1789.6,0.98,100.0
P-00076,Aluminum Product 76,Paper,5.98,0.59,0.72,Germany,Plastic,7644.1,Air,25.93,98.01,3839.4,3.21,100.0
P-00077,Steel Product 77,Cotton,6.2,0.32,0.23,USA,Bioplastic,6747.9,Road,90.05,116.49,2192.9,2.37,100.0
P-00078,Paper Product 78,Paper,14.09,0.44,0.35,India,Plastic,8863.1,Rail,134.34,280.12,1403.8,2.02,100.0
P-00079,Paper Product 79,Leather,4.45,0.31,0.14,USA,Cardboard,9505.0,Air,104.87,62.73,1047.5,3.83,100.0
P-00080,Aluminum Product 80,Glass,13.82,0.5,0.5,China,Bioplastic,8451.3,Air,74.64,285.02,695.1,3.31,100.0
P-00081,Glass Product 81,Leather,11.47,0.53,0.74,Vietnam,Bioplastic,6928.2,Rail,82.62,212.43,726.6,0.19,100.0
P-00082,Polyester Product 82,Cotton,13.73,0.49,0.75,Bangladesh,Cardboard,7261.7,Air,37.36,121.28,2033.1,4.86,100.0
P-00083,Aluminum Product 83,Glass,9.36,0.25,0.42,China,Recycled,10624.7,Sea,101.91,50.26,4426.8,1.95,100.0
P-00084,Wood Product 84,Wool,14.3,0.7,0.19,UK,Paper,3450.6,Road,116.1,299.76,535.3,0.63,100.0
P-00085,Plastic Product 85,Wood,10.52,0.72,0.74,USA,Recycled,5611.5,Sea,142.59,284.71,2811.6,4.77,100.0
P-00086,Aluminum Product 86,Cotton,1.8,0.26,0.28,Turkey,Recycled,5236.6,Sea,42.78,188.92,3483.5,3.55,100.0
P-00087,Leather Product 87,Wool,3.72,0.8,0.45,Vietnam,Recycled,7366.8,Rail,24.09,216.95,1883.5,1.14,100.0
P-00088,Wool Product 88,Cotton,4.93,0.29,0.33,Turkey,Bioplastic,1894.9,Sea,120.83,215.01,488.4,2.59,100.0
P-00089,Paper Product 89,Polyester,5.56,0.36,0.89,India,Cardboard,833.3,Air,31.26,195.6,1440.5,0.72,100.0
P-00090,Plastic Product 90,Glass,2.75,0.77,0.84,China,Bioplastic,2053.5,Sea,52.71,74.96,4581.8,2.28,100.0
P-00091,Cotton Product 91,Aluminum,14.19,0.77,0.8,Germany,Paper,4565.1,Road,90.12,136.67,4721.4,1.37,100.0
P-00092,Paper Product 92,Wool,3.09,0.4,0.73,UK,Plastic,5518.3,Road,25.27,121.69,1909.8,4.77,100.0
P-00093,Wood Product 93,Plastic,6.92,0.8,0.77,Turkey,Recycled,3679.6,Rail,129.81,137.68,2229.6,0.77,100.0
P-00094,Plastic Product 94,Glass,13.57,0.3,0.63,Vietnam,Cardboard,2275.1,Rail,140.8,237.67,4361.7,1.61,100.0
P-00095,Wood Product 95,Glass,10.73,0.88,0.57,UK,Cardboard,1021.6,Sea,107.22,271.47,2163.9,4.0,100.0
P-00096,Aluminum Product 96,Aluminum,1.42,0.52,0.32,India,Recycled,3636.1,Air,133.8,280.83,1341.2,4.21,100.0
P-00097,Leather Product 97,Wool,12.26,0.25,0.84,Vietnam,Plastic,5710.8,Sea,44.67,149.77,4962.6,3.66,100.0
P-00098,Aluminum Product 98,Plastic,3.34,0.47,0.19,Germany,Bioplastic,10140.0,Air,113.99,49.86,4673.6,2.16,100.0
P-00099,Cotton Product 99,Steel,11.41,0.78,0.3,Bangladesh,Bioplastic,2961.4,Rail,76.02,141.38,243.7,0.47,100.0
P-00100,Wood Product 100,Glass,4.25,0.77,0.78,Italy,Paper,6916.0,Air,46.77,122.68,792.8,3.59,100.0
P-00101,Steel Product 101,Wool,1.95,0.41,0.54,Turkey,Recycled,2585.6,Air,7.23,22.1,3531.8,1.08,100.0
P-00102,Cotton Product 102,Glass,8.26,0.64,0.78,Vietnam,Plastic,2085.5,Road,48.97,143.06,484.1,4.87,100.0
P-00103,Polyester Product 103,Wood,12.46,0.36,0.58,Brazil,Paper,7320.7,Rail,53.68,180.85,277.5,3.36,100.0
P-00104,Steel Product 104,Aluminum,3.81,0.4,0.63,USA,Cardboard,1788.4,Sea,63.59,191.58,2580.3,4.7,100.0
P-00105,Glass Product 105,Paper,4.98,0.82,0.41,USA,Paper,1895.5,Air,80.0,220.11,746.0,3.44,100.0
P-00106,Cotton Product 106,Wood,1.2,0.74,0.52,UK,Plastic,7599.6,Sea,34.77,21.58,4585.5,0.79,100.0
P-00107,Glass Product 107,Wood,5.93,0.42,0.79,UK,Plastic,11450.8,Air,14.96,270.38,2064.1,2.75,100.0
P-00108,Wood Product 108,Wood,13.81,0.24,0.46,India,Paper,6844.8,Road,144.73,87.59,3572.5,2.06,100.0
P-00109,Steel Product 109,Glass,13.0,0.46,0.58,Bangladesh,Paper,3644.5,Sea,8.77,192.6,3368.6,1.99,100.0
P-00110,Wool Product 110,Polyester,9.44,0.55,0.73,Vietnam,Recycled,3425.9,Air,78.05,72.66,916.4,2.94,100.0
P-00111,Steel Product 111,Aluminum,3.66,0.94,0.55,India,Plastic,4694.6,Rail,108.16,219.69,3069.9,1.91,100.0
P-00112,Polyester Product 112,Cotton,2.63,0.78,0.31,Germany,Plastic,4942.2,Air,40.89,109.93,110.9,2.57,100.0
P-00113,Polyester Product 113,Glass,2.87,0.58,0.25,Brazil,Paper,1859.8,Rail,3.51,104.75,2641.4,1.66,100.0
P-00114,Aluminum Product 114,Leather,7.31,0.27,0.78,USA,Cardboard,3323.6,Road,115.75,189.53,1115.6,0.52,100.0
P-00115,Wood Product 115,Leather,5.24,0.25,0.1,USA,Paper,9551.8,Sea,81.53,39.56,4947.2,0.18,100.0
P-00116,Plastic Product 116,Polyester,9.04,0.46,0.65,China,Bioplastic,7589.1,Rail,104.86,281.99,1153.0,3.83,100.0
P-00117,Polyester Product 117,Wool,1.3,0.59,0.15,Bangladesh,Recycled,8341.0,Road,128.79,224.31,4742.0,2.21,100.0
P-00118,Leather Product 118,Aluminum,8.21,0.55,0.28,Bangladesh,Cardboard,5559.4,Road,5.35,177.18,2211.5,3.49,100.0
P-00119,Leather Product 119,Paper,2.85,0.37,0.75,UK,Paper,5320.3,Rail,119.0,51.98,1935.7,2.83,100.0
P-00120,Plastic Product 120,Polyester,8.9,0.86,0.29,Turkey,Paper,5940.2,Road,105.19,129.27,4249.7,4.09,100.0
P-00121,Leather Product 121,Steel,13.12,0.8,0.27,UK,Bioplastic,2716.2,Sea,16.52,265.15,2431.7,2.26,100.0
P-00122,Leather Product 122,Leather,4.61,0.62,0.47,China,Paper,11975.7,Sea,76.28,235.83,844.3,3.23,100.0
P-00123,Leather Product 123,Plastic,10.69,0.45,0.38,Bangladesh,Paper,9856.8,Road,137.99,127.95,3233.3,4.35,100.0
P-00124,Cotton Product 124,Leather,4.93,0.89,0.65,Turkey,Plastic,6714.1,Air,15.85,225.66,4885.6,0.12,100.0
P-00125,Leather Product 125,Wood,11.38,0.29,0.23,India,Bioplastic,810.8,Road,143.86,9.28,2620.7,4.59,100.0
P-00126,Paper Product 126,Steel,12.53,0.72,0.64,UK,Cardboard,6629.4,Rail,127.67,244.12,2979.2,4.25,100.0
P-00127,Leather Product 127,Wool,8.42,0.8,0.86,Vietnam,Cardboard,1069.4,Air,149.54,159.37,991.8,0.44,100.0
P-00128,Aluminum Product 128,Glass,8.05,0.65,0.25,Brazil,Plastic,7833.8,Air,61.16,59.43,1962.6,4.64,100.0
P-00129,Polyester Product 129,Wool,4.89,0.43,0.33,Italy,Recycled,6613.5,Road,24.5,148.23,948.4,2.89,100.0
P-00130,Glass Product 130,Cotton,10.08,0.85,0.35,Brazil,Paper,4003.5,Air,138.86,144.81,2334.8,0.46,100.0
P-00131,Cotton Product 131,Polyester,1.77,0.72,0.45,UK,Cardboard,8733.9,Sea,141.25,41.52,971.0,0.38,100.0
P-00132,Wood Product 132,Wood,13.44,0.79,0.58,Brazil,Recycled,5832.7,Sea,86.69,82.99,1169.0,0.8,100.0
P-00133,Plastic Product 133,Paper,8.36,0.56,0.15,Bangladesh,Paper,9680.7,Air,1.93,208.14,3904.0,4.92,100.0
P-00134,Glass Product 134,Plastic,8.4,0.43,0.65,Italy,Plastic,1680.9,Rail,26.7,297.37,3837.0,4.02,100.0
P-00135,Aluminum Product 135,Aluminum,9.22,0.69,0.89,UK,Cardboard,2731.0,Sea,81.8,146.28,2353.6,2.99,100.0
P-00136,Glass Product 136,Aluminum,11.57,0.64,0.61,China,Paper,5164.9,Sea,92.92,34.96,1707.6,3.12,100.0
P-00137,Steel Product 137,Wool,8.21,0.77,0.86,Brazil,Bioplastic,10082.9,Sea,4.43,61.41,4874.9,1.45,100.0
P-00138,Paper Product 138,Cotton,9.45,0.55,0.5,India,Plastic,7014.5,Rail,105.27,116.02,170.7,0.41,100.0
P-00139,Polyester Product 139,Wool,13.48,0.68,0.87,Italy,Plastic,2165.3,Road,129.13,228.13,3829.7,3.22,100.0
P-00140,Leather Product 140,Glass,4.85,0.33,0.24,China,Bioplastic,5793.5,Rail,85.57,112.07,3675.9,4.78,100.0
P-00141,Wood Product 141,Steel,1.66,0.7,0.42,Brazil,Recycled,1011.5,Rail,93.17,50.47,713.7,4.17,100.0
P-00142,Paper Product 142,Wool,12.98,0.95,0.44,Turkey,Cardboard,10758.2,Rail,108.34,169.38,4779.3,4.63,100.0
P-00143,Aluminum Product 143,Wool,4.1,0.3,0.78,India,Bioplastic,8409.5,Rail,55.36,100.32,3942.1,0.44,100.0
P-00144,Aluminum Product 144,Plastic,6.12,0.7,0.71,Bangladesh,Bioplastic,1142.4,Rail,9.59,283.48,3749.5,2.54,100.0
P-00145,Glass Product 145,Wool,8.77,0.94,0.17,Brazil,Recycled,728.5,Road,95.35,8.7,1967.0,4.36,100.0
P-00146,Polyester Product 146,Wool,10.59,0.45,0.32,Italy,Recycled,9226.9,Rail,10.24,128.3,195.7,1.34,100.0
P-00147,Leather Product 147,Cotton,4.82,0.4,0.86,UK,Bioplastic,5456.9,Sea,13.24,288.32,3272.9,0.23,100.0
P-00148,Leather Product 148,Polyester,12.56,0.4,0.3,India,Plastic,6518.6,Rail,118.18,174.96,3226.6,4.47,100.0
P-00149,Glass Product 149,Glass,1.12,0.71,0.29,India,Paper,10093.3,Road,52.21,236.97,2842.7,0.13,100.0
P-00150,Aluminum Product 150,Paper,13.27,0.28,0.22,China,Bioplastic,7133.8,Sea,80.24,275.36,2715.9,3.43,100.0
P-00151,Aluminum Product 151,Plastic,5.63,0.55,0.33,Germany,Plastic,10194.5,Rail,128.21,299.69,4883.9,3.21,100.0
P-00152,Steel Product 152,Leather,6.74,0.28,0.47,Italy,Paper,5348.1,Air,79.15,262.13,2078.7,0.62,100.0
P-00153,Paper Product 153,Aluminum,9.33,0.24,0.24,Bangladesh,Bioplastic,6362.4,Road,109.25,131.01,3017.2,2.4,100.0
P-00154,Polyester Product 154,Wool,7.92,0.4,0.39,UK,Bioplastic,2122.0,Air,110.69,183.81,551.7,3.58,100.0
P-00155,Glass Product 155,Leather,12.66,0.95,0.43,Germany,Paper,2922.7,Sea,54.99,205.77,3392.3,4.1,100.0
P-00156,Cotton Product 156,Steel,11.19,0.21,0.43,Germany,Paper,10583.7,Rail,40.75,247.75,429.1,4.74,100.0
P-00157,Leather Product 157,Wood,6.83,0.29,0.6,Vietnam,Bioplastic,4235.8,Air,51.95,121.05,1545.2,0.53,100.0
P-00158,Steel Product 158,Paper,11.09,0.52,0.84,Brazil,Paper,6623.0,Rail,121.87,127.54,2731.9,0.95,100.0
P-00159,Plastic Product 159,Polyester,11.11,0.92,0.1,India,Plastic,1072.9,Road,123.41,171.98,3282.2,1.43,100.0
P-00160,Polyester Product 160,Polyester,4.4,0.53,0.68,Bangladesh,Cardboard,11918.9,Rail,71.12,56.98,3146.0,0.59,100.0
P-00161,Cotton Product 161,Cotton,10.08,0.69,0.18,Turkey,Cardboard,2162.0,Air,91.84,194.37,428.1,3.55,100.0
P-00162,Wool Product 162,Aluminum,1.78,0.51,0.32,Vietnam,Plastic,9559.0,Rail,116.53,36.77,4856.7,4.57,100.0
P-00163,Cotton Product 163,Aluminum,12.84,0.74,0.71,UK,Recycled,11670.5,Air,33.0,236.23,2647.7,0.96,100.0
P-00164,Plastic Product 164,Wood,8.41,0.79,0.75,Vietnam,Bioplastic,8082.8,Air,116.77,221.58,2304.1,2.46,100.0
P-00165,Glass Product 165,Plastic,4.57,0.69,0.66,UK,Recycled,8234.0,Air,84.02,31.02,3355.6,1.44,100.0
P-00166,Wood Product 166,Steel,7.42,0.23,0.12,India,Bioplastic,5576.0,Rail,11.83,86.2,252.0,2.03,100.0
P-00167,Paper Product 167,Wool,1.18,0.56,0.4,Brazil,Cardboard,9262.2,Road,38.52,239.43,1275.0,2.49,100.0
P-00168,Wood Product 168,Polyester,8.29,0.36,0.31,China,Cardboard,4421.9,Rail,10.43,115.76,2706.4,1.64,100.0
P-00169,Polyester Product 169,Glass,14.21,0.74,0.42,Vietnam,Paper,7056.2,Rail,28.91,58.97,555.3,1.29,100.0
P-00170,Paper Product 170,Polyester,12.63,0.58,0.26,Italy,Bioplastic,5059.5,Rail,146.42,222.49,523.9,3.13,100.0
P-00171,Cotton Product 171,Glass,11.29,0.67,0.84,Vietnam,Paper,3484.6,Road,75.54,289.56,1324.6,2.49,100.0
P-00172,Polyester Product 172,Wood,6.44,0.62,0.9,Italy,Recycled,11306.8,Rail,25.19,77.7,3852.8,1.06,100.0
P-00173,Leather Product 173,Cotton,11.18,0.92,0.63,Germany,Paper,10405.8,Rail,74.35,25.5,3731.1,3.27,100.0
P-00174,Plastic Product 174,Cotton,12.87,0.77,0.35,Bangladesh,Recycled,10594.7,Rail,111.2,165.48,1654.2,0.9,100.0
P-00175,Cotton Product 175,Wool,14.95,0.23,0.68,USA,Paper,6056.9,Air,132.47,82.47,2937.6,2.29,100.0
P-00176,Glass Product 176,Wood,13.97,0.3,0.84,UK,Paper,10693.4,Rail,57.7,48.21,1627.4,3.36,100.0
P-00177,Wool Product 177,Leather,13.78,0.34,0.85,Vietnam,Recycled,2682.5,Sea,86.88,268.97,1155.4,2.73,100.0
P-00178,Wool Product 178,Wool,4.2,0.57,0.47,UK,Bioplastic,4094.8,Air,19.44,160.99,3413.5,1.06,100.0
P-00179,Plastic Product 179,Steel,2.31,0.74,0.11,India,Plastic,7721.1,Rail,62.5,203.54,3159.1,2.82,100.0
P-00180,Polyester Product 180,Wood,7.45,0.81,0.36,Turkey,Paper,7596.5,Air,140.09,128.84,1808.4,4.73,100.0
P-00181,Polyester Product 181,Wool,12.85,0.38,0.17,USA,Recycled,3774.3,Sea,37.06,74.3,1458.7,2.28,100.0
P-00182,Paper Product 182,Steel,5.74,0.22,0.84,Germany,Recycled,2953.9,Air,62.19,114.55,4151.4,4.07,100.0
P-00183,Cotton Product 183,Leather,6.98,0.23,0.71,Brazil,Plastic,11361.5,Rail,7.31,27.61,2858.1,2.31,100.0
P-00184,Cotton Product 184,Wood,6.38,0.54,0.11,Turkey,Recycled,1213.1,Road,78.12,231.07,1141.2,2.22,100.0
P-00185,Wood Product 185,Wool,5.49,0.55,0.13,UK,Paper,10264.4,Air,51.49,226.29,4703.7,4.67,100.0
P-00186,Paper Product 186,Wool,9.06,0.7,0.31,UK,Paper,1270.2,Sea,84.48,82.42,754.2,0.4,100.0
P-00187,Paper Product 187,Glass,7.49,0.32,0.16,Brazil,Plastic,6642.6,Sea,76.46,128.09,1576.8,0.86,100.0
P-00188,Aluminum Product 188,Glass,2.44,0.86,0.24,Germany,Cardboard,8705.1,Air,90.8,53.45,2485.7,3.62,100.0
P-00189,Paper Product 189,Glass,12.9,0.35,0.6,Bangladesh,Recycled,9164.9,Air,56.11,24.5,2697.2,1.62,100.0
P-00190,Wool Product 190,Polyester,13.82,0.62,0.54,China,Bioplastic,838.4,Rail,123.04,261.78,1752.4,4.85,100.0
P-00191,Glass Product 191,Wood,10.9,0.55,0.45,Bangladesh,Recycled,10545.4,Rail,117.79,184.61,2968.6,2.29,100.0
P-00192,Steel Product 192,Polyester,11.55,0.31,0.89,China,Plastic,11675.5,Sea,7.75,101.77,2104.9,1.9,100.0
P-00193,Leather Product 193,Plastic,7.94,0.32,0.42,UK,Paper,2950.1,Air,66.46,136.41,1612.9,3.88,100.0
P-00194,Glass Product 194,Steel,7.02,0.91,0.13,Turkey,Recycled,7265.0,Rail,120.66,279.33,4676.2,3.81,100.0
P-00195,Plastic Product 195,Plastic,8.86,0.63,0.49,Bangladesh,Plastic,6215.7,Sea,86.03,193.36,2611.5,2.41,100.0
P-00196,Glass Product 196,Steel,4.16,0.9,0.34,China,Bioplastic,3791.5,Sea,63.07,17.04,1267.3,3.21,100.0
P-00197,Wood Product 197,Steel,2.68,0.26,0.16,Vietnam,Bioplastic,5027.5,Rail,5.91,63.53,3871.8,2.36,100.0
P-00198,Glass Product 198,Steel,12.23,0.62,0.45,Germany,Recycled,2905.9,Road,115.85,96.53,921.3,1.59,100.0
P-00199,Plastic Product 199,Steel,1.91,0.47,0.13,China,Cardboard,3136.1,Road,57.58,159.6,3640.3,3.03,100.0
